Werkorder planning periode: 9-9-2015  t/m : 19-10-2015  Bewerking: Mengen;;;;;;;;;;;;
-------------------------------------------------------------------------------------------------------------------------------------------;;;;;;;;;;;;
;;;;;;;;;;;;
Prod.Order;Artikel;Omschrijving;Te Maken;Multiple;Batches;Startdatum;Sorteren;Volgorde;Vraagorder;Klantcode;KlantNaam;Opmerkingen
3599;00-8-1513;SCHOONMAAK NR/SBR;3;240;1;17-9-2015;AB;50;;;;
3686;39-0-1637;KT LAUNDRY-NR;20611,68;224,04;92;28-9-2015;AF25;80;;;;
3703;14-0-1345;EDE 48/1808;10,76;212,98;12;28-9-2015;AA25;70;;;;O/01194
3704;05-8-N891;CHAPUT NR 55;2,52;199,84;3;29-9-2015;AA15;59;;;;
3705;05-0-N891;CHAPUT NR 55;13,84;200,28;3;28-9-2015;AA35;66;;;;Afgemengd
3706;15-8-0073;EDE 0073;-0,32;194,17;4;29-9-2015;AA16;60;;;;
3707;15-0-0073;EDE 0073;-0,08;195,73;4;28-9-2015;AA36;67;;;;O/01198
3708;01-0-0232;EDE 48/750;-2,51;200,83;3;28-9-2015;AA25;69;;;;O/01197
3709;18-8-1005;RIDD 26-3743;5955,73;205,37;29;29-9-2015;AB16;77;;;;
3710;18-0-1005;RIDD 26-3743;6073,18;209,42;29;28-9-2015;AB36;78;;;;O/02047, D KEUR
3711;03-8-1499;AVS 74703;-0,64;198,06;6;28-9-2015;AA17;63;;;;
3712;02-0-1793;ELITE BAND 3320;-25,66;197,18;13;28-9-2015;AB37;71;;;;
3713;04-8-1407;URM 81671001;22,73;234,91;3;28-9-2015;AG16;56;;;;
3714;00-0-1831;NATIONAL EPDM70;2,9;233,45;2;28-9-2015;AD27;53;;;;
3715;00-8-1513;SCHOONMAAK NR/SBR;-38;240;1;28-9-2015;AB;52;;;;
3716;00-8-1513;SCHOONMAAK NR/SBR;-11;240;1;28-9-2015;AB;55;;;;
3717;00-8-1513;SCHOONMAAK NR/SBR;-39;240;1;28-9-2015;AB;58;;;;
3718;03-8-1460;SCHOONMAAK NBR;217;220,7;1;28-9-2015;AF17;79;;;;
3719;01-0-1822;KT RESIDENTIAL;-16;245,75;40;30-9-2015;AF25;74;;;;
3720;00-0-1847;KT LAUNDRY-NS;11,7;223,87;10;28-9-2015;AF25;73;;;;
3721;39-0-1637;KT LAUNDRY-NR;9878,48;224,04;62;28-9-2015;AF25;75;;;;
3722;03-8-1460;SCHOONMAAK NBR;-12;220,7;1;30-9-2015;AF17;72;;;;
3723;00-8-1513;SCHOONMAAK NR/SBR;220;240;1;28-9-2015;AB;76;;;;
3730;18-8-1005;RIDD 26-3743;8830,91;205,37;43;30-9-2015;AB16;50;;;;
3731;18-0-1005;RIDD 26-3743;9005,06;209,42;43;29-9-2015;AB36;50;;;;O/02196, D KEUR
